Track URI,Track Name,Album URI
spotify:track:1XAZlnVtthcDZt2NI1Dtxo,Justified & Ancient - Stand by the Jams,spotify:album:4MC0ZjNtVP1nDD5lsLxFjc
spotify:track:6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),spotify:album:5xLAcbvbSAlRtPXnKkggXA
spotify:track:70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,spotify:album:3WNxdumkSMGMJRhEgK80qx
spotify:track:1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,spotify:album:6lL6HugNEN4Vlc8sj0Zcse
spotify:track:72WZtWs6V7uu3aMgMmEkYe,You Can't Always Get What You Want,spotify:album:0c78nsgqX6VfniSNWIxwoD
spotify:track:4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,spotify:album:1bt6q2SruMsBtcerNVtpZB
spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),spotify:album:7pkLXlFdpQDfmHujT2AbBK
spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da,Something About The Way You Look Tonight - Edit Version,spotify:album:3g61rwvRs1NPeVBxuAMmHZ
spotify:track:00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,spotify:album:2Pw51hAGvWpTA3AYl2WVuu
spotify:track:3OalxlWH0v14kyBcNBMINt,Mercy,spotify:album:0S9QJQiRmG9JYYfJfKqhDF
spotify:track:0CtkjgZpkgnW7U6WmHsakD,It's Like That,spotify:album:3bRdFxQZdU5g6VjLq8KaU7
spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,Here Without You,spotify:album:72olNArm75vOycSziqIX9Y
spotify:track:09tyJ0VvbLty84iHIV3WQn,Listen to the Band - Single Version,spotify:album:338yWfNJWW2SXxVfIdczUD
spotify:track:73JqQIGZUZxCVfY54RSpCH,With A Little Luck - Remastered 1993,spotify:album:5zh2BzO2n6tSpZe0PgZc8v
spotify:track:6K8qKeWo5MsFED7wCR6Kop,Sing,spotify:album:1xn54DMo2qIqBuMqHtUsFd
spotify:track:3tP0kdmWRSqmJAt4nR3ykw,Mississippi,spotify:album:0A1kkCm8cEEPcA6yIkz1wr
spotify:track:2760p399WNJLX9LGBkjL4Z,Flava,spotify:album:0RsPmRzTbarQCXBgLSW5Ox
spotify:track:5yJCo7EewUcX9qj5nnk9O2,Baby Sittin' Boogie - Radio Version,spotify:album:1LL6GWTsMYiRc0fwGfoU3h
spotify:track:2uiyVyP0Rvl0MgB8ehoc07,Dr. Love,spotify:album:60XZbb6xRKj7waYqeJi3wz
spotify:track:2J22VgQALSoekF3KCj1nIk,Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),spotify:album:21c5423eTa6tKyMs9DKGW7
spotify:track:1O0BTayCdWgQYAYYUynSpe,I'm Free,spotify:album:6WLRzKWVxm6qPEUBMVG5cH
spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",spotify:album:50bQvrNAFsAaIbqCcfD7FT
spotify:track:59mUgn4E4DWcB2lh5oRG2I,If You Can't Give Me Love - 2017 Remaster,spotify:album:1F8Hmjm8xJC1OhSEMn7pDR
spotify:track:6YndZBGmLySgsVScckWkmO,Take Yourself Home,spotify:album:0F9bpInUaHGru63OHqBuQ8
spotify:track:3yDhZq8f17SmumVmEyCaRN,Give It Up,spotify:album:52BJ1S5NOv7eFD6ZFDZga2
spotify:track:4X8KnalmdKJE4C0vMb8CmD,Homecoming,spotify:album:5BNmZXVJX3h8WbtXyRTRln
spotify:track:5ibhWB91OHgTVVwtVFMLKP,Funhouse - Main Version - Clean,spotify:album:0OHvyFSN4W0fjJ7CiehVMB
spotify:track:2h1IPjP471JJRSShTHRUhi,Dangerous Woman,spotify:album:4lVR2fg3DAUQpGVJ6DciHW
spotify:track:0IRHUlQ9XCp5aG9NIruLu2,Abergavenny,spotify:album:6MLD7tcwokFlJ4Nu048flm
spotify:track:71kj6vbwfqjThqsDxhtYPE,That's All You Gotta Do,spotify:album:7B4ewUWVdSC9yuFGiFWuem
spotify:track:4oX4WNqPhgKQrl5W4tdt7V,Its Alright,spotify:album:7IgYFMrRiybuW2T85jklrC
spotify:track:0HoMdjB1XwwMlyPfTV7DEj,Metal Guru,spotify:album:3Dg3quPRLDCsEqnzgPl6PE
spotify:track:37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,spotify:album:3fzHLg5RfRXzQlHlR4F7JG
spotify:track:6F8MwPCU40qIrl605yp9dP,Paper In Fire,spotify:album:0vMm7ACFW8V1dY4ETr0LNN
spotify:track:6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,spotify:album:1aUeYy0hXu0KBuJ5To0hS0
spotify:track:1PZ5mBtpRXZj8aMgQQYcro,Deep End,spotify:album:2uNFpEVey5RsxzTdoDmjiz
spotify:track:4bT2zLVv2T4GiK9q9KtI0v,Stay The Night - Featuring Hayley Williams Of Paramore,spotify:album:7iC7iQaeRrG33H6VInfl00
spotify:track:34KTEhpPjq6IAgQg2yzJAL,Californication,spotify:album:0fLhefnjlIV3pGNF9Wo8CD
spotify:track:4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,spotify:album:7tB40pGzj6Tg0HePj2jWZt
spotify:track:3Ymi51lilmxnc9eRnfi32D,My Island Home,spotify:album:56hiT6YRCDxQZGhA8vzqhW
spotify:track:0gPQTLaqHDgdupKEok7J2x,7 Days,spotify:album:5TedEgCbtmvDnXzUtXEFJY
spotify:track:4pCSXZwffXEmxYuHAzVIXQ,Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,spotify:album:2YI0nSvfqdSmRteWw26PDE
